amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
5.40774858474731;4.1796458864212;3.57407851651224;5.86995721586123;22;4;[1 2] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.06554850231517;0.489711286533963;-15.8868569173294;27.2859344066967;22;4;[1 2] ;RDK3;left;peri;17;blue;not presented;not attended;not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.63680228320035;0.998647081174634;-5.90111499634982;15.61331094954;22;4;[1 2] ;RDK4;left;peri;20;redish;presented;attended;attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.40039935978976;1.51415921124545;-13.8985609219818;25.1901585141015;22;4;[1 2] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.17757750511169;1.74669739246368;3.48456302210851;24.7108696879617;22;5;[1 2] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.56500489234924;3.26057920455933;-11.7271863153298;-14.1257013813806;22;5;[1 2] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.21258312572132;0.449874244156209;-4.53762039122286;40.2338915040461;22;5;[1 2] ;RDK3;left;peri;17;blue;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.72085848721591;1.08378793055361;-2.35726259180192;55.9012339171598;22;5;[1 2] ;RDK4;left;peri;20;redish;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.53739637461576;1.47794085361741;-12.2037663627973;18.0492827330803;22;5;[1 2] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.90038457870483;1.04378332495689;-6.72938917322927;-27.0547888503403;22;6;[1 2] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.62482800483704;4.27920538902283;10.4827887004974;17.7555921559239;22;6;[1 2] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.6589534889568;2.25169653838331;-13.9408638624557;-4.63376837253407;22;6;[1 2] ;RDK3;left;peri;17;blue;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.3912014354359;0.359927275031805;-8.47045236521106;-36.4118954341832;22;6;[1 2] ;RDK4;left;peri;20;redish;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.18154234019193;0.679326372254978;-14.8554770970813;-9.84636994886068;22;6;[1 2] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.96863688468933;0.988502881526947;0;0;23;1;[-1 0] ;RDK1;center;center;26;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.13311466217041;1.26138208270073;0;0;23;1;[-1 0] ;RDK2;center;center;23;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.03709924004295;1.01503712033684;0;0;23;1;[-1 0] ;RDK3;right;peri;14;redish;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.72668013789437;1.07605683857744;0;0;23;1;[-1 0] ;RDK4;right;peri;17;blue;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.5521586634896;0.322865274413065;0;0;23;1;[-1 0] ;RDK5;right;peri;20;green;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.8236091375351;0.971827909946442;0;0;23;2;[-1 0] ;RDK1;center;center;26;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.08031755447388;1.23419475078583;0;0;23;2;[-1 0] ;RDK2;center;center;23;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.06332734281367;1.03824559233405;0;0;23;2;[-1 0] ;RDK3;right;peri;14;redish;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.89263170415705;1.23845813924616;0;0;23;2;[-1 0] ;RDK4;right;peri;17;blue;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.61702395785939;0.331665408052504;0;0;23;2;[-1 0] ;RDK5;right;peri;20;green;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.68096311092377;0.657902285158634;0;0;23;3;[-1 0] ;RDK1;center;center;26;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.07302940368652;1.30237058877945;0;0;23;3;[-1 0] ;RDK2;center;center;23;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.06718841032548;1.11683752536774;0;0;23;3;[-1 0] ;RDK3;right;peri;14;redish;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.43151405941356;0.244506469301202;0;0;23;3;[-1 0] ;RDK4;right;peri;17;blue;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.43800038207661;0.40706683316014;0;0;23;3;[-1 0] ;RDK5;right;peri;20;green;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.76769561290741;0.987958810329437;0;0;23;4;[-1 0] ;RDK1;center;center;26;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.00087547302246;1.44566279888153;0;0;23;4;[-1 0] ;RDK2;center;center;23;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
2.80708194645968;0.406783856993372;0;0;23;4;[-1 0] ;RDK3;right;peri;14;redish;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.71518246694045;1.06415728547356;0;0;23;4;[-1 0] ;RDK4;right;peri;17;blue;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.44098372676156;0.410344722867012;0;0;23;4;[-1 0] ;RDK5;right;peri;20;green;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.76307278156281;0.873035553693771;0;0;23;5;[-1 0] ;RDK1;center;center;26;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
